"Komplizierte CRUD","Komplizierte CRUD"
"Image","Image"
"Description","Description"
"Delete","Delete"
"Are you sure?","Are you sure?"
"Image Details","Image Details"
"Title","Title"
"Add new Image","Add new Image"
"Edit Image","Edit Image"
"Image successfully saved","Image successfully saved"
"Somethings went wrong","Somethings went wrong"
"Image successfully deleted","Image successfully deleted"
"Please select Image(s).","Please select Image(s)."
"Total of %d record(s) were deleted.","Total of %d record(s) were deleted."
"",""